Date,BTC_close,BTC_open,BTC_high,BTC_low,BTC_volume,Active_Addr_Cnt,Difficulty,Mean_Block_Size(in_bytes),Sum_Block_Weight,Total_Fees(USD),Mean_Hashrate,Xfer_Cnt,Mean_Tx_size(native_units),ETH,LTC,DOGE,XRP,GOLD,SILVER,COPPER,S&P500,DJI,JP225
2016-02-11,379.5,381.9,383.2,372.8,62.65,496667.0,144116000000.0,641068.6875,492340752.0,16694.873760898754,1375500.956,526264.0,4.740985063,,,,0.00819,1247.8,15.805,4443.0,1829.08,15660.18,15713.39
2016-02-12,384.0,379.5,386.4,379.3,53.76,470121.0,144116000000.0,611003.5088,417926400.0,14919.80438740343,1225055.539,484196.0,5.092646299,,,,0.00794,1239.4,15.801,4491.5,1864.78,15973.84,14952.61
2016-02-13,390.1,384.0,392.6,383.3,48.16,448353.0,144116000000.0,632228.6987,394510708.0,13629.525454333569,1117594.527,471854.0,5.130878495,,,,0.00844,1239.4,15.801,4491.5,1864.78,15973.84,14952.61
2016-02-14,405.5,390.1,405.9,390.1,73.59,496649.0,144116000000.0,634044.6928,421005676.0,14508.197795774176,1189235.202,530643.0,5.082628051,,,,0.00821,1239.4,15.801,4491.5,1864.78,15973.84,14952.61
2016-02-15,401.1,405.5,410.9,396.6,86.13,498129.0,144116000000.0,759322.625,461668156.0,16904.930963590476,1088938.257,529418.0,6.851363684,,,,0.00835,1208.2,15.334,4565.0,1864.78,15973.84,16022.58
2016-02-16,406.4,401.1,409.8,398.0,68.33,481206.0,144116000000.0,759357.3406,419165252.0,17266.98269731511,988641.3123,482884.0,7.672793918,,,,0.00811,1208.2,15.345,4547.0,1895.58,16196.41,16054.43
2016-02-17,417.1,406.4,421.5,405.0,90.32,537228.0,144116000000.0,772174.7806,478748364.0,17914.09568891174,1110430.459,552384.0,6.793047128,,,,0.00746,1211.4,15.389,4591.5,1926.82,16453.83,15836.36
2016-02-18,421.4,417.1,425.5,414.8,77.35,496326.0,144116000000.0,650943.3905,440037732.0,18356.35680720487,1210727.404,510136.0,7.231571578,,,,0.00844,1226.3,15.446,4591.0,1917.83,16413.43,16196.8
2016-02-19,420.0,421.4,424.3,416.4,52.24,523596.0,153470000000.0,772673.0621,448150376.0,19394.20931424605,1106210.058,516073.0,8.90415714,,,,0.00848,1230.8,15.388,4605.0,1917.78,16391.99,15967.17
2016-02-20,440.1,420.0,442.7,419.5,111.63,489626.0,163492000000.0,731195.6733,438717404.0,18125.69406115591,1219082.137,515343.0,7.681643268,,,,0.0079,1230.8,15.388,4605.0,1917.78,16391.99,15967.17
2016-02-21,437.9,440.1,447.6,425.5,100.5,531113.0,163492000000.0,856710.5703,438635812.0,17890.93782139085,1040283.424,573398.0,7.07467559,,,,0.00831,1230.8,15.388,4605.0,1917.78,16391.99,15967.17
2016-02-22,437.8,437.9,440.2,431.3,56.01,537212.0,163492000000.0,897707.3701,456035344.0,19918.95629785107,1032156.209,574027.0,7.286180313,,,,0.00831,1210.1,15.203,4680.0,1945.5,16620.66,16111.05
2016-02-23,419.9,437.8,440.8,414.4,93.72,550408.0,163492000000.0,883962.0588,480875360.0,20640.34918496777,1105301.138,565922.0,6.698443876,,,,0.00815,1222.6,15.26,4658.5,1921.27,16431.78,16052.05
2016-02-24,422.7,419.9,425.2,410.4,66.51,466104.0,163492000000.0,917661.7373,433136340.0,19231.817832973164,959011.2812,472190.0,7.077159098,,,,0.00785,1239.1,15.314,4665.0,1929.8,16484.99,15915.79
2016-02-25,423.5,422.7,427.2,417.5,53.54,529925.0,163492000000.0,799172.6968,495487072.0,19496.407888174985,1259718.208,528877.0,5.619968956,,,,0.00823,1238.8,15.184,4608.0,1951.7,16697.29,16140.34
2016-02-26,427.3,423.5,427.6,419.1,53.21,476826.0,163492000000.0,764790.8286,428282864.0,18306.090327086848,1137809.995,481997.0,6.256440203,,,,0.00823,1220.4,14.714,4690.5,1948.05,16639.97,16188.41
2016-02-27,431.3,427.3,434.1,427.3,42.79,467543.0,163492000000.0,657567.8367,386649888.0,15695.93334731325,1194700.494,464758.0,4.529010464,,,,0.0078,1220.4,14.714,4690.5,1948.05,16639.97,16188.41
2016-02-28,432.5,431.3,435.6,421.2,50.85,497556.0,163492000000.0,793967.0746,425566352.0,19851.87652431021,1089046.709,531671.0,15.8271691,,,,0.00816,1220.4,14.714,4690.5,1948.05,16639.97,16188.41
2016-02-29,436.2,432.5,441.3,429.8,68.77,563571.0,163492000000.0,913204.188,485824628.0,24167.222463663016,1080919.495,597896.0,16.08764974,,,,0.0081,1234.4,14.918,4699.0,1932.23,16516.5,16026.76
2016-03-01,434.0,436.2,439.0,428.5,67.46,561876.0,163492000000.0,905523.2837,510715132.0,25931.805087727236,1145937.209,615167.0,17.25031426,,,,0.00828,1230.8,14.756,4735.5,1978.35,16865.08,16085.51
2016-03-02,425.4,434.0,435.9,423.9,57.75,553815.0,163492000000.0,893477.2611,561103720.0,38595.69126621711,1275972.637,584459.0,9.236162837,,,,0.00809,1241.8,15.022,4807.0,1986.45,16899.32,16746.55
2016-03-03,419.6,425.4,425.8,414.9,78.9,575225.0,163492000000.0,930013.5852,502207336.0,24279.44555787081,1097173.923,598521.0,5.596367641,,,,0.0079,1258.2,15.146,4861.0,1993.4,16943.9,16960.16
2016-03-04,409.5,419.6,423.4,407.2,75.27,513898.0,163165000000.0,776263.8387,481283580.0,20288.99917928193,1257200.656,463276.0,15.49663082,,,,0.00794,1270.7,15.694,4998.0,1999.99,17006.77,17014.78
2016-03-05,399.0,409.5,410.1,386.9,129.15,530671.0,158427000000.0,781985.2267,469191136.0,24801.59817763264,1181318.852,558667.0,34.41352767,,,,0.00734,1270.7,15.694,4998.0,1999.99,17006.77,17014.78
2016-03-06,406.0,399.0,412.0,393.1,62.59,409059.0,158427000000.0,620821.9527,367526596.0,15687.856873883333,1165567.934,423889.0,4.357330008,,,,0.00755,1270.7,15.694,4998.0,1999.99,17006.77,17014.78
2016-03-07,414.9,406.0,416.6,402.0,61.77,421465.0,158427000000.0,726194.0526,386335236.0,18670.5876648767,1047436.049,429041.0,6.495056486,,,,0.00767,1264.0,15.633,5002.0,2001.76,17073.95,16911.32
2016-03-08,411.9,414.9,416.7,408.4,53.77,460732.0,158427000000.0,670705.474,413154572.0,18030.624926453467,1212820.688,479506.0,4.204460339,,,,0.0078,1262.9,15.39,4888.0,1979.26,16964.1,16783.15
2016-03-09,412.8,411.9,414.9,408.9,50.92,504399.0,158427000000.0,733572.881,492960976.0,22187.04580358358,1323077.115,427684.0,4.344522368,,,,0.0081,1257.4,15.366,4921.0,1989.26,17000.36,16642.2
2016-03-10,415.8,412.8,417.5,410.3,55.74,445273.0,158427000000.0,688153.2065,426654988.0,17312.723752361977,1220696.147,458120.0,4.805501754,11.75,,,0.0082,1272.8,15.549,4896.5,1989.57,16995.13,16852.35
2016-03-11,419.1,415.8,422.4,415.1,60.63,434658.0,158427000000.0,622785.0375,398582424.0,17101.93075981979,1260073.443,463697.0,4.69596542,11.95,,,0.00922,1259.4,15.605,4948.0,2022.19,17213.31,16938.87
2016-03-12,410.4,419.1,420.7,407.0,59.64,374730.0,158427000000.0,575015.3611,331208848.0,13984.439830359051,1134066.098,376754.0,4.471860495,12.92,,,0.00814,1259.4,15.605,4948.0,2022.19,17213.31,16938.87
2016-03-13,412.4,410.4,415.9,409.6,34.98,421585.0,158427000000.0,629356.8647,334817852.0,14606.780891353828,1047436.049,432962.0,3.499875233,15.07,,,0.00818,1259.4,15.605,4948.0,2022.19,17213.31,16938.87
2016-03-14,414.3,412.4,416.1,411.2,49.33,451902.0,158427000000.0,719966.3224,437739524.0,16892.976656803836,1197069.77,458294.0,4.428469048,12.5,,,0.0083,1245.1,15.521,4950.5,2019.64,17229.13,17233.75
2016-03-15,415.1,414.3,417.4,412.3,48.6,451559.0,158427000000.0,664909.882,428201964.0,18023.057239482838,1267948.902,467789.0,7.074105965,13.06,,,0.00787,1231.0,15.261,4944.5,2015.93,17251.53,17117.07
2016-03-16,415.9,415.1,417.0,413.3,44.54,449250.0,158427000000.0,673913.9737,409739696.0,20007.57078159328,1197069.77,463715.0,27.87648518,12.88,,,0.00819,1229.8,15.219,4992.0,2027.22,17325.76,16974.45
2016-03-17,418.2,415.9,419.6,415.3,43.82,482125.0,158427000000.0,750539.5887,423304328.0,19285.4713202152,1110439.721,505514.0,14.75816749,10.74,,,0.0081,1265.0,16.033,5068.0,2040.59,17481.49,16936.38
2016-03-18,408.2,418.2,418.6,402.5,66.07,425769.0,162638000000.0,725631.4412,394743504.0,17405.002484533055,1099528.522,451671.0,10.79252589,10.74,,,0.00828,1254.3,15.811,5051.0,2049.58,17602.3,16724.81
