Date,BTC_close,BTC_open,BTC_high,BTC_low,BTC_volume,Active_Addr_Cnt,Difficulty,Mean_Block_Size(in_bytes),Sum_Block_Weight,Total_Fees(USD),Mean_Hashrate,Xfer_Cnt,Mean_Tx_size(native_units),ETH,LTC,DOGE,XRP,GOLD,SILVER,COOPER,S&P500,DJI,JP225
10/03/2023,20156.7,20362,20362.6,19591.8,655.27,979055,4.31454E+13,1861396.765,543098853,875366.4697147477,291688415.6,920523,0.538891432,1426.75,71.43,0.065794,0.36999,1867.2,20.375,8867,3861.59,31909.96,28143.97
09/03/2023,20361.8,21710.8,21826.5,20079.6,468.76,929904,4.30538E+13,1831515.844,539160510,924918.2139330937,288929457.5,886042,0.501244774,1438.5,76.74,0.065974,0.37099,1834.6,20.025,8853,3918.32,32256.05,28623.15
08/03/2023,21710.8,22197.8,22274.3,21661.3,316.51,885079,4.30538E+13,1974247.278,527170280,575044.8110002994,284649020.7,786360,0.563113998,1533.04,82.76,0.07112,0.38874,1818.6,20.005,8910.5,3992.01,32798.53,28444.19
07/03/2023,22197.8,22410.1,22535.1,21968.6,304.75,1063023,4.30538E+13,2015677.594,650994527,563748.519567353,353136002.5,942943,0.61108657,1561.78,86.29,0.074029,0.3802,1820,20.054,8763.5,3986.37,32856.86,28309.16
06/03/2023,22410,22428.2,22595.4,22320.1,215.31,931807,4.30538E+13,1797813.015,523198082,549106.5038416599,282508803.9,826010,0.489205109,1565.84,87.36,0.074783,0.36964,1854.6,20.984,8920.5,4048.42,33431.05,28237.78
05/03/2023,22428.3,22347.1,22636.7,22213.5,160.57,995537,4.30538E+13,1945110.742,607070479,388577.954687769,331733821.9,767135,0.399365945,1564.37,89.93,0.074756,0.36681,,,,,,
04/03/2023,22347.1,22354.7,22403.7,22167.4,123.93,905589,4.30538E+13,2139364.868,603084695,448294.1747170359,325313168.3,839858,0.313679897,1566.73,89.34,0.07466,0.37351,,,,,,
03/03/2023,22354.4,23465.6,23473.4,22051.9,344.63,1086253,4.30538E+13,2015245.381,666957199,615863.2306066486,359556659.2,995612,0.451612046,1568.89,90.54,0.076811,0.37738,1854.6,21.238,8983.5,4045.64,33390.35,27927.47
02/03/2023,23465.4,23642.2,23780.5,23208.7,249.26,939444,4.30538E+13,2000278.389,567132554,577605.7678618868,308191421.3,891096,0.401063985,1647.38,95.34,0.08054,0.37715,1840.5,20.766,8958.5,3981.35,33005.12,27498.87
01/03/2023,23642.2,23130.6,23914.1,23025.3,328.77,1076257,4.30538E+13,2132680.853,679018896,588745.8502306296,363837096,993001,0.447169877,1666.09,97.85,0.081945,0.38366,1845.4,20.959,9100.5,3951.39,32662.56,27516.53
28/02/2023,23130.5,23494,23595,23033.8,275.10,983627,4.30538E+13,1846285.803,543143089,611284.5102132326,293209894.2,902775,0.498068951,1604.69,93.79,0.080792,0.3762,1836.7,20.961,8961,3970.15,32654.98,27445.56
27/02/2023,23494.1,23558.7,23876.2,23166.8,297.65,982682,4.30538E+13,1636751.85,519858267,543157.4029406321,299630547.8,794663,0.496608784,1633.66,94.07,0.081333,0.3785,1824.9,20.67,8802,3982.24,32889.29,27423.96
26/02/2023,23558.7,23166.1,23671.8,23066,209.12,905055,4.30538E+13,2076780.869,618745130,349796.0189146365,359556659.2,741876,0.368536288,1641.6,95.27,0.082219,0.37799,,,,,,
25/02/2023,23166.1,23191.3,23215.3,22777.4,198.35,811239,4.30174E+13,1851111.093,427325821,363884.2458850485,228809606.1,748840,0.33565567,1594.66,93.16,0.080742,0.37786,,,,,,
24/02/2023,23191.5,23936.4,24123.4,22970.3,367.99,964247,3.91564E+13,1833054.874,538741669,436547.0379440812,262774152.6,865745,0.52313287,1608.24,91.58,0.080875,0.37844,1809.2,20.81,8716.5,3970.04,32817.05,27453.48
23/02/2023,23936.3,24186.6,24590.4,23637.9,417.46,1071298,3.91564E+13,2012193.702,682895649,459356.6659645027,332847260,841347,0.53736802,1650.52,94.58,0.084254,0.38829,1818.8,21.306,8904,4012.32,33156.41,
22/02/2023,24186.6,24450.7,24474.3,23593.4,400.24,931144,3.91564E+13,1905460.014,559106263,440445.1662822077,272506528,778690,0.610355077,1643.39,95.25,0.085463,0.39507,1833.3,21.677,9112,3991.05,33046.33,27104.32
21/02/2023,24450.7,24839.5,25236.8,24160.8,395.97,1012926,3.91564E+13,2031231.737,660052638,428755.0060842809,325061358.6,791676,0.657350624,1659.41,93.81,0.085457,0.39189,1842.5,21.89,9200.5,3997.34,33130.38,27473.1
20/02/2023,24839.5,24302.8,25085.4,23868.6,363.02,908106,3.91564E+13,2164022.068,583121764,431509.0273153154,286131854.2,718505,0.527082362,1703.27,95.92,0.08829,0.39841,1850.5,21.808,9141.5,,,27531.94
19/02/2023,24302.9,24631.3,25175.2,24273.7,312.64,928713,3.91564E+13,2228596.352,638973198,388262.2530707992,315328983.2,693048,0.4057388,1681.52,97.6,0.087069,0.38641,1847.75,21.598,,,,
18/02/2023,24631.4,24573.5,24838.9,24457,223.77,1046593,3.91564E+13,2132400.238,666996316,480518.81355077156,327007835.3,774524,0.45534823,1691.62,99.72,0.088822,0.39427,,,,,,
17/02/2023,24573.5,23538.2,24984.7,23373,523.85,1050009,3.91564E+13,2053406.182,659015493,648534.7239371135,321168407.8,886012,0.66765792,1693.96,100.15,0.087689,0.39486,1840.4,21.715,8987.5,4079.09,33826.92,27513.13
16/02/2023,23539.6,24328.1,25233.8,23525.9,484.50,1118226,3.91564E+13,2107362.296,706917380,738592.4230791873,348419062.9,907495,0.630823479,1640.66,98.54,0.08496,0.38417,1842,21.71,9023,4090.41,33696.39,27696.44
15/02/2023,24327.9,22198.5,24330.9,22050.8,401.53,993456,3.91564E+13,2175520.055,650976760,859326.9285088483,317275457.1,861515,0.576851017,1675.43,102.85,0.089283,0.40113,1834.2,21.572,8857.5,4147.6,34128.34,27501.86
14/02/2023,22198.5,21776.9,22308.6,21556.2,378.39,913570,3.91564E+13,2336368.221,611025335,585236.4762589883,299757180.3,807858,0.461279391,1555.46,95.79,0.083554,0.38207,1854,21.873,8946.5,4136.13,34089.79,27602.77
13/02/2023,21772.6,21782.7,21887.5,21418.7,312.04,957593,3.91564E+13,2164686.628,619051925,530883.5290687481,303650131,786149,0.548332089,1505.84,91.07,0.082032,0.37045,1851.9,21.852,8938,4137.29,34246.32,27427.32
12/02/2023,21786.8,21859.9,22080.7,21653.1,211.65,861493,3.92212E+13,2535436.34,647016538,404245.6579846455,315851204,719393,0.573727176,1515.44,92.49,0.082192,0.37482,,,,,,
11/02/2023,21859.8,21627.4,21902.9,21605.3,182.07,896301,3.93509E+13,2355380.561,591078199,487538.16016194515,289509602.7,794720,0.680028917,1538.34,94.29,0.08225,0.38349,,,,,,
10/02/2023,21635,21792.5,21933.6,21491.7,352.79,923753,3.93509E+13,2038043.98,587110965,592649.6685687429,287553455.2,861080,1.143086833,1513.82,93.45,0.080922,0.38207,1862.8,22.075,8857.5,4090.46,33869.4,27670.98
09/02/2023,21792.5,22964.6,23003.6,21744.6,425.44,1056974,3.93509E+13,2166561.593,642984507,463580.2079869685,316895645.6,922414,0.405900837,1545.35,92.06,0.081454,0.38167,1866.2,22.143,8983,4081.5,33700.54,27584.35
08/02/2023,22964.6,23251.7,23425.1,22691.7,289.12,942153,3.93509E+13,2122320.362,551161514,418635.21343892394,269948141.6,811687,0.337866563,1650.99,99.22,0.09017,0.3976,1877.4,22.42,8892.5,4117.86,33949.2,27606.46
07/02/2023,23251.7,22761.8,23338.8,22748.2,318.98,944049,3.93509E+13,2128454.887,567111446,514645.0814686667,277772726,825404,0.395977258,1671.4,100.87,0.092537,0.40361,1871.7,22.177,8925,4164,34156.85,27685.47
06/02/2023,22761.8,22936,23130.6,22633.7,278.58,920525,3.93509E+13,2209309.845,591084534,427974.4992250088,289509602.7,801365,0.423385397,1613.72,95.9,0.089463,0.39189,1866.2,22.237,8871.5,4111.08,33889.63,27693.65
05/02/2023,22936,23326.9,23423.4,22766.5,217.26,802171,3.93509E+13,1609618.572,484191464,330452.0958623045,297334187.2,709343,0.378394447,1629.44,96.63,0.092083,0.39842,,,,,,
04/02/2023,23323.8,23431.2,23571.8,23269.8,170.27,961115,3.93509E+13,1790720.294,524516109,452943.2702318513,266035849.3,828676,0.284054609,1666.9,98.47,0.095672,0.41093,,,,,,
03/02/2023,23431.2,23429.1,23694.1,23233.8,349.36,988867,3.93509E+13,1459202.496,488550356,591390.6037816869,260167412.4,899457,0.378767832,1663.79,99.87,0.092876,0.41152,1862.9,22.405,8980.5,4136.48,33925.06,27509.46
02/02/2023,23427.6,23726.2,24207.2,23398.1,382.86,983946,3.93509E+13,1427196.248,507879456,505038.5887668438,283641163,896148,0.384733448,1641.71,98.46,0.090914,0.40962,1916.3,23.615,9052.5,4179.76,34053.74,27402.05
01/02/2023,23725.6,23124.7,23784.5,22809.6,333.18,1050528,3.93509E+13,1581138.139,536642269,511697.7882523402,267991996.9,890851,0.438389378,1642.1,100.33,0.093957,0.41328,1927.8,23.609,9087,4119.21,34094.34,27346.88
31/01/2023,23125.1,22832.2,23262.9,22724.9,289.38,944348,3.93509E+13,1532722.496,455297857,440176.60166055197,224956785.1,837380,0.470658182,1585.27,94.14,0.096096,0.40572,1929.5,23.836,9222.5,4076.6,34086.89,27327.11
30/01/2023,22832.2,23746,23794,22560,339.62,957363,3.93509E+13,1331842.913,477986001,266720.6789074929,269948141.6,805515,0.470123545,1566.5,91.26,0.088386,0.39359,1922.9,23.733,9210,4017.77,33717.68,27433.4
29/01/2023,23753.1,23023.5,23952.9,22973.3,320.86,829895,3.89136E+13,987568.1366,403920435,201804.2618460301,311438925.9,730412,0.30304561,1645.97,94.88,0.090147,0.41328,,,,,,
28/01/2023,23027.9,23074.6,23182.3,22889.8,156.96,857014,3.75905E+13,962497.9226,417076037,258485.8316621688,313930107.5,765700,0.282961743,1573.07,89.67,0.087772,0.40787,,,,,,
27/01/2023,23074.6,23016,23480.3,22602.9,310.36,929064,3.75905E+13,1144061.273,453975602,341618.12366437004,287769263.2,857634,0.487242116,1597.6,88.91,0.087212,0.41281,1936.6,23.534,9263.5,4070.56,33977.55,27382.56
26/01/2023,23016,23055.2,23259.5,22869,320.97,892287,3.75905E+13,1101842.555,445302180,276627.5196188492,289637896.2,811692,0.421352524,1602.55,87.58,0.086429,0.40944,1937.6,23.937,9329.5,4060.43,33948.29,27362.75
25/01/2023,23055.1,22632.5,23779,22366.3,388.18,912032,3.75905E+13,1002049.743,454362395,286989.0499244973,327010528.3,818913,0.466358004,1611.2,89.34,0.086584,0.417,1950.3,23.846,9314.5,4016.22,33743.71,27395.01
24/01/2023,22632.5,22916.3,23156.1,22517.1,334.17,908199,3.75905E+13,1343666.016,443685092,383773.2429566174,241053473.8,773193,0.415900382,1556.15,87.25,0.083857,0.40791,1943.1,23.665,9314.5,4016.95,33733.5,27299.19
23/01/2023,22915.5,22709,23161.8,22527.9,327.85,933346,3.75905E+13,1096316.759,456268483,346693.29577902914,295243790.1,793504,0.463877059,1626.53,89.86,0.088486,0.42396,1936.2,23.481,9356,4019.81,33628.84,26906.04
22/01/2023,22707.8,22775.7,23068.7,22323,280.64,863236,3.75905E+13,1116937.232,432689664,310094.3869984102,282163369.3,709343,0.361916075,1627.03,87.57,0.08824,0.40039,,,,,,
21/01/2023,22775.7,22677.5,23304.5,22461.1,382.69,906764,3.75905E+13,1168992.696,425795922,361600.0268793513,257871158.1,809758,0.399356438,1625.53,87.95,0.084605,0.40323,,,,,,
20/01/2023,22677.2,21074.9,22718.5,20879.3,373.74,933005,3.75905E+13,1308458.811,457459568,464548.0089510255,246659370.3,878554,0.412212255,1659.98,90.32,0.086305,0.41312,1928.2,23.86,9324,3972.61,33374.37,26553.53
19/01/2023,21081.2,20670.6,21169.4,20669.7,275.76,926693,3.75905E+13,1262767.924,465444489,338904.1126435559,270951578.9,824055,0.444671344,1551.62,84.23,0.081613,0.39288,1923.9,23.791,9305.5,3898.85,33044.17,26405.23
18/01/2023,20670.6,21137.1,21584.1,20448.3,388.67,942079,3.75905E+13,1355338.8,479228769,328935.9860605288,261608421.5,795267,0.471674823,1511.31,82.62,0.080059,0.37869,1907,23.569,9323.5,3928.86,33296.63,26791.12
17/01/2023,21137.1,21184.4,21506.4,20926.2,310.04,988775,3.75905E+13,1242079.872,503989945,279615.8329617069,291506526.6,812100,0.519418818,1564.67,86.99,0.082799,0.38693,1907.2,23.978,9287,3990.97,33911.22,26138.68
16/01/2023,21184.2,20880.1,21416.8,20698.9,337.46,966312,3.75905E+13,1261898.653,487855134,220433.63100382473,274688842.4,800652,0.463724714,1576.94,85.91,0.083687,0.38616,1909.9,24.455,9104.5,,,25822.32
15/01/2023,20879.8,20956,21032.2,20585.7,205.80,807742,3.46943E+13,885329.1779,370831840,168321.2050850138,281119760.7,723806,0.405926512,1552.69,87.4,0.086112,0.38474,1919.9,24.415,,,,
14/01/2023,20958.2,19926.9,21185.6,19898.6,458.21,965948,3.40936E+13,1105053.158,484837602,285374.26251639385,289810898.1,849720,0.460375504,1550.02,87.82,0.087368,0.39526,,,,,,
13/01/2023,19927,18850.8,19981.6,18723.8,426.67,1072059,3.40936E+13,1274495.245,520340610,331866.4032110581,269473292,910668,0.501081967,1450.86,86.26,0.084515,0.38603,1921.7,24.279,9185.5,3999.09,34302.81,26119.52
12/01/2023,18851.3,17941,19055.3,17915.5,522.01,1034292,3.40936E+13,1351098.543,541131073,309820.80595736066,255914886.3,847002,0.507898884,1416.08,86.12,0.080287,0.37483,1898.8,23.914,9187,3983.17,34189.25,26449.82
11/01/2023,17942.3,17440.5,17989.8,17323.9,291.53,944957,3.40936E+13,1293399.946,538932502,228488.6961685651,249135683.5,795523,0.437393286,1389.84,84.02,0.07813,0.37289,1878.9,23.481,9124.5,3969.61,33972.25,26446
10/01/2023,17439.1,17180.1,17491,17151.7,247.14,1146540,3.40936E+13,1384474.16,617925460,193306.51548256946,286421296.7,831247,0.555490169,1335.13,80.83,0.077807,0.35078,1876.5,23.665,8912,3919.25,33705.55,26175.56
09/01/2023,17180.1,17119,17390.8,17107.1,301.24,981056,3.40936E+13,1234913.704,517562148,188201.08408284985,257609688.3,785099,0.580702213,1320.51,81.63,0.075655,0.34897,1877.8,23.871,8859.5,3892.09,33517.95,
08/01/2023,17119,16943.6,17119,16913.8,144.84,755503,3.40936E+13,898618.5425,358961054,115343.78371159194,259304487.7,668472,0.359291248,1288.38,78.48,0.073574,0.34475,,,,,,
07/01/2023,16943.6,16950.9,16979.6,16909.7,110.48,809225,3.40936E+13,970091.8831,392669055,143115.89683853363,260999287.2,735557,0.303615331,1263.9,76.34,0.072156,0.34412,,,,,,
06/01/2023,16950.9,16829.8,17012.3,16707.6,233.47,932794,3.40936E+13,1043511.783,500919816,220462.781090956,305064103.2,818893,0.377553509,1269.14,75.93,0.07242,0.34436,1869.7,23.982,8589.5,3895.08,33629.79,25973.85
05/01/2023,16829.8,16852.2,16877.9,16772.3,178.96,922508,3.40936E+13,1156747.331,472730054,237253.59364477155,266083690.6,807190,0.445178465,1250.95,74.24,0.071485,0.33795,1840.6,23.424,8374.5,3808.1,32929.72,25820.8
04/01/2023,16852.1,16674.2,16976.5,16656.5,247.39,922281,3.40936E+13,1221507.434,455160896,247512.94697730537,242356483.1,787763,0.584297527,1256.92,75.41,0.073147,0.34776,1859,23.964,8252,3852.97,33269.57,25716.86
03/01/2023,16674.2,16673.1,16773.2,16607.2,178.73,985169,3.41678E+13,1258736.247,480492058,217715.10059359722,261567697.3,772429,0.521990362,1214.57,75.57,0.070477,0.34367,1846.1,24.236,8321.5,3824.14,33134.59,
02/01/2023,16674.3,16618.4,16766.9,16551,136.03,842261,3.53641E+13,1009820.583,412620949,147054.43089362985,274241330.3,672577,0.397332548,1213.93,74.77,0.07138,0.34819,1835.8,24.328,,,,
01/01/2023,16618.4,16537.5,16621.9,16499.7,107.84,719716,3.53641E+13,848189.471,342816737,118144.8411355349,272483374.2,613719,0.349695298,1200.52,70.91,0.070237,0.33868,,,,,,
31/12/2022,16537.4,16607.2,16635.9,16487.3,130.44,839910,3.53641E+13,1077094.59,437923163,202108.08783359072,274241330.3,759193,0.353723827,1195.67,70.08,0.070144,0.33872,,,,,,
30/12/2022,16607.2,16636.4,16644.4,16360,192.76,1050756,3.53641E+13,1344317.994,553377638,360131.60387029947,277757245.1,881174,0.495289725,1199.8,67.94,0.068395,0.34519,1826.2,24.04,8372,3839.5,33147.28,26094.5
29/12/2022,16636.4,16546.2,16659.1,16496.6,181.47,945186,3.53641E+13,1270219.631,473021594,337268.8995000707,247871973.3,802781,0.472253326,1200.84,66.66,0.070952,0.3421,1826,24.25,8418,3849.28,33221.06,26093.67
28/12/2022,16546.2,16705.9,16781.1,16474.2,217.96,904203,3.53641E+13,1021067.768,444046929,340456.7691813491,295336819,786787,0.43716512,1189.98,66.32,0.070382,0.35601,1815.8,23.84,8443,3783.22,32875.01,26340.5
27/12/2022,16706.1,16918.2,16964,16610.1,192.18,867369,3.53641E+13,1384476.165,402866389,393800.3360212427,202165083.6,707594,0.373538753,1211.6,68.68,0.073704,0.36749,1823.1,24.217,,3829.25,33241.69,26447.87
26/12/2022,16918.1,16831.8,16936.1,16799.4,133.36,787672,3.53641E+13,1128549.907,379793976,306349.7505453656,226776484.5,662792,0.35539958,1227.65,70.77,0.075679,0.36591,1809.7,24.055,,,,26405.87
25/12/2022,16831.8,16835.7,16852.9,16733,132.89,731599,3.53641E+13,973160.6667,353673460,228040.78917698574,247871973.3,602458,0.321252961,1218.69,69.17,0.076009,0.34581,,,,,,
24/12/2022,16837.2,16778.6,16855.8,16777.8,110.12,758680,3.53641E+13,1457272.169,344801276,292152.4550237825,156458196.5,672129,0.283279466,1220.46,65.76,0.077529,0.352,,,,,,
23/12/2022,16779.1,16820.5,16910.7,16768,184.12,891725,3.53641E+13,1257046.674,438859832,296554.3263350746,232050358,838234,0.44208117,1220.03,65.74,0.077203,0.3543,1804.2,23.92,8349.5,3844.82,33204.26,26235.25
22/12/2022,16820.6,16831.8,16862.2,16566.1,198.28,908585,3.53641E+13,1259031.467,446706000,292689.34269950533,237324228.9,821891,0.443538576,1217.57,66.2,0.076864,0.34941,1795.3,23.622,8310.5,3822.39,33028.22,26507.87
21/12/2022,16831.8,16902.7,16919.4,16735,174.34,905699,3.53641E+13,1207196.161,449973633,273327.0187785436,251387888,778065,0.531267554,1213.85,65.43,0.073729,0.34552,1825.4,24.194,8393.5,3878.44,33376.48,26387.72
20/12/2022,16902.8,16441.3,17031.3,16400.7,284.57,950486,3.53641E+13,1325536.7,467652523,306772.4778405426,246114014.6,784841,0.486761228,1217.2,65.62,0.074852,0.34857,1825.4,24.271,8354.5,3821.62,32850.01,26568.03
19/12/2022,16441.3,16741.1,16809.5,16331.2,207.93,971140,3.46478E+13,1347370.397,476470717,302527.70986315794,234239565.5,755283,0.522851464,1167.8,63.4,0.07136,0.33894,1797.7,23.199,8320,3817.66,32756.61,27237.64
