"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2019","26,855.00","27,208.00","27,258.00","26,693.00","239.80K","-1.14%"
"07/30/2019","27,164.00","27,218.00","27,252.00","27,042.00","148.12K","-0.13%"
"07/29/2019","27,198.00","27,143.00","27,255.00","27,112.00","111.35K","0.18%"
"07/26/2019","27,149.00","27,084.00","27,193.00","27,077.00","120.61K","0.20%"
"07/25/2019","27,096.00","27,250.00","27,349.00","27,040.00","196.82K","-0.52%"
"07/24/2019","27,237.00","27,306.00","27,346.00","27,175.00","155.97K","-0.32%"
"07/23/2019","27,324.00","27,174.00","27,358.00","27,159.00","137.72K","0.54%"
"07/22/2019","27,176.00","27,106.00","27,216.00","27,078.00","144.41K","0.17%"
"07/19/2019","27,130.00","27,305.00","27,342.00","27,071.00","194.39K","-0.26%"
"07/18/2019","27,201.00","27,164.00","27,304.00","27,057.00","190.64K","-0.11%"
"07/17/2019","27,231.00","27,318.00","27,377.00","27,184.00","135.79K","-0.35%"
"07/16/2019","27,328.00","27,346.00","27,396.00","27,280.00","134.70K","-0.05%"
"07/15/2019","27,342.00","27,303.00","27,397.00","27,263.00","129.82K","0.12%"
"07/12/2019","27,309.00","27,072.00","27,330.00","27,070.00","146.91K","0.86%"
"07/11/2019","27,077.00","26,859.00","27,092.00","26,851.00","184.87K","0.81%"
"07/10/2019","26,860.00","26,782.00","26,983.00","26,688.00","209.43K","0.30%"
"07/09/2019","26,779.00","26,794.00","26,807.00","26,657.00","150.79K","-0.05%"
"07/08/2019","26,793.00","26,890.00","26,924.00","26,742.00","147.10K","-0.34%"
"07/05/2019","26,885.00","26,973.00","27,009.00","26,728.00","199.74K","-0.39%"
"07/04/2019","26,989.50","26,962.50","26,998.00","26,939.50","","0.07%"
"07/03/2019","26,970.00","26,798.00","26,982.00","26,750.00","119.17K","0.65%"
"07/02/2019","26,797.00","26,695.00","26,805.00","26,621.00","163.50K","0.36%"
"07/01/2019","26,700.00","26,816.00","26,896.00","26,609.00","202.63K","0.40%"
"06/28/2019","26,593.00","26,563.00","26,672.00","26,521.00","161.24K","0.18%"
"06/27/2019","26,546.00","26,521.00","26,665.00","26,445.00","172.21K","-0.02%"
"06/26/2019","26,550.00","26,567.00","26,703.00","26,509.00","180.31K","-0.05%"
"06/25/2019","26,562.00","26,758.00","26,827.00","26,539.00","216.58K","-0.75%"
"06/24/2019","26,762.00","26,674.00","26,815.00","26,662.00","136.48K","0.06%"
"06/21/2019","26,745.58","26,761.00","26,783.00","26,680.00","2.43K","-0.07%"
"06/20/2019","26,763.00","26,520.00","26,804.00","26,510.00","34.55K","0.88%"
"06/19/2019","26,529.00","26,473.00","26,585.00","26,422.00","55.74K","0.13%"
"06/18/2019","26,495.00","26,150.00","26,542.00","26,070.00","84.77K","1.39%"
"06/17/2019","26,131.00","26,117.00","26,212.00","26,058.00","69.03K","0.03%"
"06/14/2019","26,123.00","26,129.00","26,177.00","26,003.00","114.68K","0.02%"
"06/13/2019","26,117.00","26,020.00","26,153.00","25,891.00","175.89K","0.40%"
"06/12/2019","26,012.00","26,064.00","26,098.00","25,961.00","153.26K","-0.20%"
"06/11/2019","26,065.00","26,100.00","26,261.00","26,009.00","181.05K","-0.08%"
"06/10/2019","26,086.00","26,150.00","26,289.00","26,048.00","183.86K","0.30%"
"06/07/2019","26,007.00","25,701.00","26,085.00","25,683.00","202.19K","1.02%"
"06/06/2019","25,745.00","25,530.00","25,807.00","25,437.00","202.03K","0.73%"
"06/05/2019","25,558.00","25,349.00","25,573.00","25,344.00","219.21K","0.84%"
"06/04/2019","25,346.00","24,917.00","25,364.00","24,825.00","251.90K","1.92%"
"06/03/2019","24,869.00","24,743.00","24,938.00","24,610.00","322.94K","0.20%"
"05/31/2019","24,820.00","25,178.00","25,191.00","24,789.00","276.43K","-1.47%"
"05/30/2019","25,190.00","25,106.00","25,218.00","25,057.00","202.30K","0.32%"
"05/29/2019","25,109.00","25,355.00","25,377.00","24,937.00","300.81K","-1.02%"
"05/28/2019","25,369.00","25,609.00","25,717.00","25,330.00","262.85K","-1.11%"
"05/27/2019","25,653.00","25,624.50","25,694.50","25,590.50","","0.11%"
"05/26/2019","25,625.50","25,611.50","25,658.00","25,599.50","","0.02%"
"05/24/2019","25,620.00","25,494.00","25,664.00","25,457.00","201.02K","0.62%"
"05/23/2019","25,463.00","25,779.00","25,779.00","25,320.00","300.18K","-1.20%"
"05/22/2019","25,771.00","25,860.00","25,904.00","25,733.00","196.58K","-0.40%"
"05/21/2019","25,875.00","25,719.00","25,895.00","25,711.00","208.63K","0.70%"
"05/20/2019","25,696.00","25,776.00","25,901.00","25,554.00","246.48K","-0.33%"
"05/17/2019","25,780.00","25,879.00","25,949.00","25,628.00","280.26K","-0.34%"
"05/16/2019","25,867.00","25,670.00","25,955.00","25,554.00","232.03K","0.75%"
"05/15/2019","25,674.00","25,569.00","25,714.00","25,326.00","255.28K","0.41%"
"05/14/2019","25,570.00","25,278.00","25,677.00","25,217.00","250.53K","1.14%"
"05/13/2019","25,281.00","25,764.00","25,818.00","25,215.00","357.28K","-2.63%"
"05/10/2019","25,964.00","25,796.00","26,016.00","25,464.00","368.24K","0.57%"
"05/09/2019","25,816.00","25,983.00","25,994.00","25,500.00","364.96K","-0.76%"
"05/08/2019","26,014.00","25,947.00","26,079.00","25,799.00","306.20K","0.16%"
"05/07/2019","25,973.00","26,220.00","26,394.00","25,751.00","378.15K","-1.64%"
"05/06/2019","26,405.00","26,284.00","26,447.00","25,932.00","282.58K","-0.35%"
"05/03/2019","26,499.00","26,273.00","26,518.00","26,245.00","169.69K","0.89%"
"05/02/2019","26,265.00","26,339.00","26,461.00","26,148.00","258.25K","-0.47%"
"05/01/2019","26,390.00","26,646.00","26,691.00","26,333.00","178.49K","-0.73%"
"04/30/2019","26,584.00","26,562.00","26,653.00","26,398.00","186.15K","0.14%"
